odino,instability_score,tier,part_category,severity,driving_context,insufficient_info,mentions_existing_recall,evidence_overlap_iou,symptom_overlap_jaccard
11689901,3,불안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,MODERATE/SERIOUS/CRITICAL,불명/불명/주행 중,False/False/False,True/False/False,0.333,0.487
11677788,3,불안정,INSTRUMENT_CLUSTER/INSUFFICIENT_INFO/INSTRUMENT_CLUSTER,MODERATE/MODERATE/MODERATE,정차·주차 중/불명/불명,False/True/False,False/False/False,1.0,0.194
11548885,2,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,MODERATE/MODERATE/SERIOUS,정차·주차 중/불명/불명,False/False/False,False/False/False,0.331,0.408
11544622,2,부분 흔들림,POWERTRAIN_SW/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,SERIOUS/SERIOUS/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,True/True/True,0.796,0.406
11490756,2,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/SERIOUS/SERIOUS,시동 시/시동 시/불명,False/False/False,True/True/True,1.0,0.451
11580773,2,부분 흔들림,INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER,SERIOUS/CRITICAL/CRITICAL,불명/주행 중/불명,False/False/False,False/False/False,1.0,0.493
11677493,2,부분 흔들림,ELECTRICAL_SYSTEM/NON_ELECTRICAL/ELECTRICAL_SYSTEM,SERIOUS/CRITICAL/SERIOUS,시동 시/시동 시/시동 시,False/False/False,False/False/False,1.0,0.667
11715018,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,불명/주행 중/불명,False/False/False,False/False/False,0.194,0.576
11528536,1,부분 흔들림,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/False,0.331,0.44
11542050,1,부분 흔들림,ELECTRICAL_SYSTEM/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.234
11723787,1,부분 흔들림,POWERTRAIN_SW/POWERTRAIN_SW/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.725
11446690,1,부분 흔들림,POWERTRAIN_SW/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.558,0.685
11668898,1,부분 흔들림,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/정차·주차 중/정차·주차 중,False/False/False,False/False/False,0.739,0.337
11476842,1,부분 흔들림,POWERTRAIN_SW/ELECTRICAL_SYSTEM/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.5
11501381,1,부분 흔들림,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/주행 중,False/False/False,False/False/False,1.0,0.382
11504393,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,SERIOUS/MODERATE/MODERATE,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,True/True/True,1.0,0.778
11506666,1,부분 흔들림,ADAS/ADAS/BRAKES_ELECTRONIC,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.624
11515124,1,부분 흔들림,INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER,CRITICAL/CRITICAL/CRITICAL,불명/불명/주행 중,False/False/False,False/False/False,1.0,0.714
11527874,1,부분 흔들림,ELECTRICAL_SYSTEM/PROPULSION_BATTERY/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,1.0
11533311,1,부분 흔들림,POWERTRAIN_SW/ELECTRICAL_SYSTEM/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.6
11538359,1,부분 흔들림,NON_ELECTRICAL/NON_ELECTRICAL/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,1.0
11542226,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,MODERATE/SERIOUS/MODERATE,불명/불명/불명,False/False/False,False/False/False,1.0,0.733
11544794,1,부분 흔들림,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/SERIOUS,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.458
11568980,1,부분 흔들림,BRAKES_ELECTRONIC/BRAKES_ELECTRONIC/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/True,1.0,0.711
11570631,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,SERIOUS/CRITICAL/CRITICAL,불명/불명/불명,False/False/False,False/False/False,1.0,0.4
11575287,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,불명/주행 중/불명,False/False/False,False/False/False,1.0,0.478
11613883,1,부분 흔들림,INSUFFICIENT_INFO/ELECTRICAL_SYSTEM/INSUFFICIENT_INFO,CRITICAL/CRITICAL/CRITICAL,불명/불명/불명,False/False/False,True/True/True,1.0,1.0
11620548,1,부분 흔들림,NON_ELECTRICAL/ELECTRICAL_SYSTEM/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/True,1.0,0.619
11633215,1,부분 흔들림,NON_ELECTRICAL/POWERTRAIN_SW/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.704
11639286,1,부분 흔들림,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.778
11670647,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,SERIOUS/CRITICAL/MODERATE,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,True/True/True,1.0,0.167
11694770,1,부분 흔들림,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,MODERATE/MODERATE/MINOR,불명/불명/불명,False/False/False,False/False/False,1.0,0.6
11720871,1,부분 흔들림,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/불명/불명,False/False/False,False/False/False,1.0,0.667
11741640,1,부분 흔들림,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/False/False,1.0,0.409
11685550,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.0,0.826
11688858,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.085,0.636
11597684,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.182,0.395
11716330,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,False/False/False,0.208,0.417
11524962,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.439
11533367,0,안정,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.246
11549579,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.229
11606839,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.897
11688002,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.172
11690103,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.145
11701567,0,안정,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.503
11711520,0,안정,INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.333,0.619
11599594,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,SERIOUS/SERIOUS/SERIOUS,불명/불명/불명,False/False/False,False/False/False,0.433,1.0
11448375,0,안정,INSUFFICIENT_INFO/INSUFFICIENT_INFO/INSUFFICIENT_INFO,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,True/True/True,0.488,1.0
11669841,0,안정,BRAKES_ELECTRONIC/BRAKES_ELECTRONIC/BRAKES_ELECTRONIC,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.493,0.425
11492376,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.554,0.833
11575323,0,안정,BRAKES_ELECTRONIC/BRAKES_ELECTRONIC/BRAKES_ELECTRONIC,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.58,0.473
11613909,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.599,0.714
11612164,0,안정,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.651,0.303
11732905,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,SERIOUS/SERIOUS/SERIOUS,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,False/False/False,0.656,0.81
11446965,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.703,0.833
11506590,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.726,0.833
11552356,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.735,0.656
11615878,0,안정,INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,0.761,0.601
11531219,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/True,0.794,0.786
11673997,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,시동 시/시동 시/시동 시,False/False/False,False/False/False,0.888,0.618
11449465,0,안정,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.6
11454278,0,안정,INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER/INSTRUMENT_CLUSTER,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.67
11469840,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.641
11483567,0,안정,INSUFFICIENT_INFO/INSUFFICIENT_INFO/INSUFFICIENT_INFO,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,False/False/False,1.0,1.0
11484813,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.365
11486734,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.784
11492228,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.536
11496665,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.5
11497836,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/True,1.0,0.2
11501418,0,안정,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.547
11528957,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.678
11532470,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.393
11545812,0,안정,INSUFFICIENT_INFO/INSUFFICIENT_INFO/INSUFFICIENT_INFO,CRITICAL/CRITICAL/CRITICAL,불명/불명/불명,True/True/True,False/False/False,1.0,0.333
11555522,0,안정,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.503
11560762,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,불명/불명/불명,False/False/False,True/True/True,1.0,0.778
11568712,0,안정,BRAKES_ELECTRONIC/BRAKES_ELECTRONIC/BRAKES_ELECTRONIC,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.573
11569836,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/True,1.0,0.467
11571118,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.833
11571820,0,안정,BRAKES_ELECTRONIC/BRAKES_ELECTRONIC/BRAKES_ELECTRONIC,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,False/False/False,1.0,0.778
11571897,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.593
11577672,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,SERIOUS/SERIOUS/SERIOUS,불명/불명/불명,False/False/False,False/False/False,1.0,0.333
11581526,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,시동 시/시동 시/시동 시,False/False/False,True/True/True,1.0,0.331
11582554,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.944
11586406,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,MODERATE/MODERATE/MODERATE,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.393
11595971,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.638
11610088,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,False/False/False,1.0,0.4
11625813,0,안정,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.627
11635502,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.295
11642950,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.407
11651805,0,안정,NON_ELECTRICAL/NON_ELECTRICAL/NON_ELECTRICAL,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.432
11654685,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/True,1.0,0.852
11686809,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.481
11691075,0,안정,ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM/ELECTRICAL_SYSTEM,CRITICAL/CRITICAL/CRITICAL,불명/불명/불명,False/False/False,True/True/True,1.0,0.556
11693915,0,안정,ADAS/ADAS/ADAS,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.486
11703048,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.38
11709080,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.519
11710115,0,안정,BRAKES_ELECTRONIC/BRAKES_ELECTRONIC/BRAKES_ELECTRONIC,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,False/False/False,1.0,0.733
11716344,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,SERIOUS/SERIOUS/SERIOUS,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,True/True/True,1.0,0.516
11731966,0,안정,POWERTRAIN_SW/POWERTRAIN_SW/POWERTRAIN_SW,CRITICAL/CRITICAL/CRITICAL,시동 시/시동 시/시동 시,False/False/False,False/False/False,1.0,0.617
11744480,0,안정,PROPULSION_BATTERY/PROPULSION_BATTERY/PROPULSION_BATTERY,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,True/True/True,1.0,0.333
